Position: (1, 2), Direction: UP, Actions: MOVE_FORWARD, Score: 0
Position: (1, 2), Direction: UP, Actions: SHOOT, Score: -10
Position: (1, 2), Direction: UP, Actions: SHOOT, Score: -110
Position: (1, 3), Direction: UP, Actions: MOVE_FORWARD, Score: -210
Position: (1, 4), Direction: UP, Actions: MOVE_FORWARD, Score: -220
Position: (1, 4), Direction: UP, Actions: GRAB, Score: -230
Position: (1, 5), Direction: UP, Actions: MOVE_FORWARD, Score: 4760
Position: (1, 5), Direction: RIGHT, Actions: TURN_RIGHT, Score: 4750
Position: (1, 5), Direction: DOWN, Actions: TURN_RIGHT, Score: 4740
Position: (1, 4), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4730
Position: (1, 3), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4720
Position: (1, 2), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4710
Position: (1, 2), Direction: RIGHT, Actions: TURN_LEFT, Score: 4700
Position: (2, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4690
Position: (3, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4680
Position: (4, 2), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4670
Position: (4, 2), Direction: DOWN, Actions: TURN_RIGHT, Score: 4660
Position: (4, 2), Direction: LEFT, Actions: TURN_RIGHT, Score: 4650
Position: (3, 2), Direction: LEFT, Actions: MOVE_FORWARD, Score: 4640
Position: (3, 2), Direction: UP, Actions: TURN_RIGHT, Score: 4630
Position: (3, 3), Direction: UP, Actions: MOVE_FORWARD, Score: 4620
Position: (3, 4), Direction: UP, Actions: MOVE_FORWARD, Score: 4610
Position: (3, 5), Direction: UP, Actions: MOVE_FORWARD, Score: 4600
Position: (3, 5), Direction: UP, Actions: SHOOT, Score: 4590
Position: (3, 6), Direction: UP, Actions: MOVE_FORWARD, Score: 4490
Position: (3, 7), Direction: UP, Actions: MOVE_FORWARD, Score: 4480
Position: (3, 8), Direction: UP, Actions: MOVE_FORWARD, Score: 4470
Position: (3, 9), Direction: UP, Actions: MOVE_FORWARD, Score: 4460
Position: (3, 10), Direction: UP, Actions: MOVE_FORWARD, Score: 4450
Position: (3, 10), Direction: RIGHT, Actions: TURN_RIGHT, Score: 4440
Position: (4, 10), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4430
Position: (5, 10), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4420
Position: (6, 10), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4410
Position: (7, 10), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4400
Position: (8, 10), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4390
Position: (9, 10), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4380
Position: (10, 10), Direction: RIGHT, Actions: MOVE_FORWARD, Score: 4370
Position: (10, 10), Direction: DOWN, Actions: TURN_RIGHT, Score: 4360
Position: (10, 9), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4350
Position: (10, 8), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4340
Position: (10, 7), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4330
Position: (10, 6), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4320
Position: (10, 5), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4310
Position: (10, 4), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4300
Position: (10, 3), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4290
Position: (10, 2), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4280
Position: (10, 1), Direction: DOWN, Actions: MOVE_FORWARD, Score: 4270
Position: (10, 1), Direction: LEFT, Actions: TURN_RIGHT, Score: 4260
Position: (9, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 4250
Position: (8, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 4240
Position: (7, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 4230
Position: (6, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 4220
Position: (5, 1), Direction: LEFT, Actions: MOVE_FORWARD, Score: 4210
Position: (5, 1), Direction: LEFT, Actions: GRAB, Score: 4200
Position: (5, 1), Direction: UP, Actions: TURN_RIGHT, Score: 9190
Position: (5, 1), Direction: RIGHT, Actions: TURN_RIGHT, Score: 9180
